Date,ProductID,ProductName,Category,Supplier,UnitPrice,StockQuantity,StockValue,ReorderLevel,ReorderQuantity,UnitsSold,SalesValue,LastSoldDate,LastRestockDate,NextRestockDate,DeliveryTimeDays,DeliveryStatus
2024-06-07,2d16a279-fb17-419f-af3a-158dae59e893,Popcorn,Snacks,Fields-Hicks,95.4,19,1812.6,50,58,0,0,,2024-02-13,2024-02-17,9,On Time
2024-03-09,696483f6-70ab-4e0d-99b0-ec18ebc1eafe,Shampoo,Health & Beauty,"Baker, Hart and Leonard",30.21,66,1993.86,34,81,42,1268.82,2024-05-04,2024-01-07,2024-01-18,2,Delayed
2024-04-15,a3dc3dc5-c957-4855-b7be-bbc4bbca1181,Bagel,Bakery,"Mayer, Foster and Nelson",88.57,97,8591.29,37,47,29,2568.53,2024-06-17,2024-06-26,2024-07-21,8,Delayed
2024-01-01,4cfb177f-5626-431d-bb31-9987118b8fc6,Laundry Detergent,Cleaning Supplies,"Martin, Green and Lewis",74.68,66,4928.88,28,81,18,1344.24,2024-03-29,2024-06-01,2024-07-01,2,Delayed
2024-01-06,87bf3826-fd42-4d46-a852-d94a6cb85be8,Butter,Dairy,"Wells, Warren and Farrell",50.01,49,2450.49,21,93,33,1650.33,2024-04-30,2024-02-25,2024-03-24,8,Partial Delivery
2024-02-06,f907cc7c-f5ed-4661-939a-8aa6f83455da,Tea,Beverages,"Edwards, Sawyer and Riggs",60.14,38,2285.32,33,78,7,420.98,2024-05-02,2024-05-20,2024-05-25,1,On Time
2024-02-09,258c2a33-4c1e-45c6-882f-aad0de53bc22,Shampoo,Health & Beauty,Miller-Nelson,34.17,143,4886.31,20,74,64,2186.88,2024-04-10,2024-02-23,2024-03-22,9,Partial Delivery
2024-05-09,eec83ca3-bf9b-40f6-8236-e042f7ad5dc9,Trash Bags,Cleaning Supplies,"Booker, Mckinney and Dennis",21,158,3318,31,71,17,357,2024-02-04,2024-02-18,2024-03-19,1,Delayed
2024-03-19,70e81277-c2a8-4aa1-888c-dfe3eb88a8c8,Soda,Beverages,"Morrow, Crawford and Summers",48.92,184,9001.28,35,58,150,7338,2024-02-24,2024-04-24,2024-05-12,10,Delayed
2024-06-13,6f460210-4fc0-46f9-b78c-a8095fa09cd0,Toothpaste,Health & Beauty,Moreno-Carter,82.8,153,12668.4,27,24,125,10350,2024-05-31,2024-03-19,2024-03-22,6,On Time
2024-03-16,c0eda0e1-4220-4d34-a4fc-d0a12af93f6e,Croissant,Bakery,Stevens Inc,57.29,149,8536.21,13,73,135,7734.15,2024-05-19,2024-06-17,2024-06-28,8,Partial Delivery
2024-06-02,59227aaf-00fd-4868-b4da-b5a767245c11,Chips,Snacks,Turner-Ramirez,50.04,49,2451.96,50,100,33,1651.32,2024-01-14,2024-03-06,2024-03-27,10,Partial Delivery
2024-04-03,02587abb-a6d4-4aac-9fe1-143a4bf2f940,Apple,Produce,"Cain, Jennings and Williams",14.09,25,352.25,27,86,19,267.71,2024-04-22,2024-03-13,2024-04-12,8,Partial Delivery
2024-06-12,9cff30ee-b5c6-407e-800c-92405c752506,Yogurt,Dairy,King Ltd,68.19,74,5046.06,31,67,65,4432.35,2024-01-14,2024-03-19,2024-04-09,3,Partial Delivery
2024-03-01,2175abb8-bd4f-4a04-8c62-a4056594dcda,Cake,Bakery,Rhodes LLC,99.38,43,4273.34,31,60,22,2186.36,2024-02-28,2024-02-25,2024-03-13,4,On Time
2024-01-09,4d5bc534-e395-4c65-8276-6c4c4fed3c85,Butter,Dairy,Price Ltd,94.82,143,13559.26,7,61,50,4741,2024-03-01,2024-03-06,2024-03-17,7,Partial Delivery
2024-01-23,a4039efe-0eef-4885-bacc-b5b99733676c,Deodorant,Health & Beauty,Wilson Group,89.34,115,10274.1,21,78,106,9470.04,2024-01-14,2024-05-07,2024-05-13,6,On Time
2024-03-13,ce83def4-e53b-46a2-a96f-4059cc216770,Chips,Snacks,"Mitchell, Walker and Richardson",70.7,193,13645.1,47,94,42,2969.4,2024-06-04,2024-01-31,2024-02-11,9,On Time
2024-05-26,ea702864-29ff-4d42-ab99-fec4459ea124,Dish Soap,Cleaning Supplies,Jones Group,17.5,195,3412.5,31,30,195,3412.5,2024-01-13,2024-04-02,2024-04-06,10,Delayed
2024-02-22,7def1a99-5ed7-43d4-bbc8-800fadeb4870,Pork,Meat,Hill Group,45.41,158,7174.78,29,74,34,1543.94,2024-06-13,2024-05-02,2024-05-16,1,Delayed
2024-04-27,7b25c380-b921-4aeb-a834-2f83828e80ac,Laundry Detergent,Cleaning Supplies,"Fischer, Hubbard and Wright",53.23,35,1863.05,10,62,26,1383.98,2024-04-01,2024-04-28,2024-05-09,10,Partial Delivery
2024-05-19,8ca451bd-b4a2-422b-b4d5-c996d6f47383,Bagel,Bakery,"Kennedy, Montgomery and Nguyen",67.55,129,8713.95,31,59,52,3512.6,2024-02-06,2024-04-26,2024-05-19,3,Delayed
2024-02-16,ac72ca30-6000-485b-9483-07fd5e434256,Bread,Bakery,"Gardner, Reeves and Scott",54.92,131,7194.52,43,86,120,6590.4,2024-04-06,2024-05-25,2024-06-24,8,On Time
2024-06-22,73712e70-c1e9-4411-b98e-9d42c40882f9,Carrot,Produce,Bradley PLC,5.42,69,373.98,18,56,46,249.32,2024-01-23,2024-04-01,2024-04-12,3,On Time
2024-01-14,724f4452-f94f-455d-a6d9-4f9004cb385e,Apple,Produce,"Rogers, Elliott and Fitzgerald",35.68,165,5887.2,35,37,153,5459.04,2024-06-07,2024-06-19,2024-07-01,4,On Time
2024-02-06,0f46aba7-8860-4853-8393-22d0acbd3c98,Chicken,Meat,Schultz-Tate,17.92,173,3100.16,26,32,144,2580.48,2024-06-15,2024-06-19,2024-07-18,1,On Time
2024-01-22,b61e17ff-93af-4f27-9f3d-7b2c5d8401f1,Coffee,Beverages,Anthony Group,46.83,61,2856.63,22,95,38,1779.54,2024-01-08,2024-05-02,2024-05-31,8,On Time
2024-03-09,b5a289c9-9a10-4ad7-bf4c-db59922bdca4,Apple,Produce,"Barnes, Blair and Hernandez",59.98,200,11996,22,64,189,11336.22,2024-04-16,2024-02-15,2024-03-14,5,Partial Delivery
2024-04-20,e5015c90-c1a3-4c20-ad0a-5b2929dc6412,Milk,Dairy,Davis-Cunningham,57.56,55,3165.8,40,76,54,3108.24,2024-01-26,2024-03-01,2024-03-23,7,Partial Delivery
2024-02-14,d5d34e69-12ab-4574-8575-e5ed8db2ebeb,Granola Bars,Snacks,"Anderson, Morris and Gonzalez",10.2,30,306,46,36,23,234.6,2024-02-04,2024-05-13,2024-05-14,4,On Time
2024-01-08,83063ab8-1b8b-4ed7-8705-4ee4d8102743,Chips,Snacks,"West, Baker and Flores",87.32,74,6461.68,42,77,70,6112.4,2024-04-01,2024-05-01,2024-05-02,10,Partial Delivery
2024-01-06,ca8b441e-52ba-475b-9336-110704f463f8,Bread,Bakery,Boyd-Duncan,52.07,97,5050.79,38,31,43,2239.01,2024-02-09,2024-03-24,2024-03-28,1,Partial Delivery
2024-05-22,36832fda-09d0-4c33-aaa6-530ec207dad1,Glass Cleaner,Cleaning Supplies,May-Vasquez,31.2,107,3338.4,7,46,45,1404,2024-01-10,2024-02-03,2024-02-21,9,On Time
2024-06-30,c87daeca-e7eb-4ab0-ada1-a2489b882226,Soda,Beverages,Casey-Martin,83.65,32,2676.8,27,25,29,2425.85,2024-05-13,2024-05-04,2024-05-19,5,Partial Delivery
2024-06-25,24b719f9-cce2-4520-950a-a73350d10dd5,Lettuce,Produce,"White, Leach and Sweeney",25.23,16,403.68,18,75,9,227.07,2024-05-10,2024-02-11,2024-03-09,2,Partial Delivery
2024-03-29,45f6c04d-cd63-4fd7-ab36-e3afcb58e764,Toothpaste,Health & Beauty,Griffin-Cooper,58.69,123,7218.87,26,92,83,4871.27,2024-01-30,2024-06-04,2024-06-16,2,On Time
2024-03-21,1bb741f1-2922-4aa1-95ee-83de349e1f2b,Granola Bars,Snacks,Goodwin-Perez,16.41,155,2543.55,49,20,1,16.41,2024-04-21,2024-06-12,2024-07-07,8,Partial Delivery
2024-02-15,e72c52ae-19cf-4128-884a-2ac6422151a0,Banana,Produce,Moran Ltd,17.49,78,1364.22,31,34,5,87.45,2024-03-29,2024-06-23,2024-07-01,9,On Time
2024-04-04,4d3e3b66-5311-4b6a-8d96-22bc33451a54,Potato,Produce,"Clark, Macdonald and Stone",92.63,63,5835.69,46,55,14,1296.82,2024-03-01,2024-06-23,2024-07-19,1,Delayed
2024-06-12,3cc4790c-b947-4594-b8c5-d532d055cf9a,Shampoo,Health & Beauty,"Lee, Collier and Durham",45.82,56,2565.92,43,74,29,1328.78,2024-04-03,2024-06-20,2024-06-29,8,On Time
2024-06-21,71346b32-a34e-4370-804c-2e8dd55fb57d,Cheese,Dairy,"Arellano, Adams and Stevenson",67.18,38,2552.84,45,72,8,537.44,2024-06-23,2024-01-31,2024-02-23,6,Delayed
2024-01-16,9ac6053f-9593-45b6-9a3d-77886353a479,Cheese,Dairy,Rivera-Barry,3.34,159,531.06,41,46,44,146.96,2024-05-23,2024-04-05,2024-04-06,6,Delayed
2024-04-22,5dff7e81-6223-4612-bce7-f0ceab3701cb,Soda,Beverages,Rogers LLC,11.98,15,179.7,25,72,13,155.74,2024-05-11,2024-02-15,2024-02-25,6,Delayed
2024-06-02,82e9c2fd-e078-45c9-b7e1-aa7902685236,Fish Sticks,Frozen,Parker-Hardy,22.78,16,364.48,6,76,16,364.48,2024-04-22,2024-06-11,2024-06-19,10,Partial Delivery
2024-04-29,bdcfeebf-7680-4c61-8e40-848860305dc4,Glass Cleaner,Cleaning Supplies,Kelley-Mathews,32.48,18,584.64,14,37,11,357.28,2024-04-25,2024-04-10,2024-05-07,10,On Time
2024-06-26,8f60e825-9a74-4f9a-bb97-d92cc0ff2a22,Pizza,Frozen,Cortez-Patton,12.01,29,348.29,44,84,27,324.27,2024-05-11,2024-02-08,2024-03-02,1,On Time
2024-03-28,499344ce-7b51-4973-b58e-d0bfe4f7911f,Toothpaste,Health & Beauty,"Wilson, Hernandez and Montgomery",23.59,200,4718,32,83,146,3444.14,2024-06-18,2024-04-18,2024-04-22,8,Partial Delivery
2024-01-24,7c990ea1-f979-425f-8816-fcef65536aa4,Sponges,Cleaning Supplies,"Miles, Perkins and English",95.96,83,7964.68,46,35,55,5277.8,2024-04-06,2024-05-08,2024-05-28,4,On Time
2024-03-24,341c39d7-a6c0-4257-a96d-76cc8f0dca42,Potato,Produce,Cox Ltd,26.92,151,4064.92,25,65,70,1884.4,2024-06-08,2024-04-01,2024-04-08,1,Partial Delivery
2024-03-25,2a29c2fc-795e-493b-9c8a-345f77dbb066,Water,Beverages,Brown PLC,80.87,46,3720.02,23,33,38,3073.06,2024-03-03,2024-01-22,2024-02-21,3,On Time
2024-04-18,653ab2b9-d7ea-44e7-9c64-75761ac7edfc,Deodorant,Health & Beauty,Norton-Deleon,18.66,105,1959.3,10,26,9,167.94,2024-05-01,2024-03-31,2024-04-05,2,On Time
2024-04-23,06599c82-d83a-4bc4-b558-615c0b62e9e9,Candy,Snacks,"Vazquez, Carter and Hutchinson",86.75,164,14227,11,79,31,2689.25,2024-03-31,2024-01-13,2024-02-06,4,Partial Delivery
2024-02-15,b21b1797-84cc-4a69-8811-4f3fbcafdf58,Hand Sanitizer,Health & Beauty,Watson-Ramos,6.29,44,276.76,8,34,9,56.61,2024-01-22,2024-04-18,2024-05-14,10,Partial Delivery
2024-05-23,d89bf13d-fcbe-4c2e-be0f-5ec7fe8ba4ff,Beef,Meat,Rogers-Jackson,68.53,183,12540.99,24,72,146,10005.38,2024-02-10,2024-04-30,2024-05-16,2,Partial Delivery
2024-03-14,3e761c6b-ae87-407b-9015-65c8bcce2a6b,Lamb,Meat,"Gonzalez, Martinez and Dixon",67.29,113,7603.77,43,79,1,67.29,2024-02-08,2024-03-14,2024-03-21,2,Partial Delivery
2024-01-11,bb8c6c66-8226-4c03-9dc7-42a18ce8181d,Frozen Vegetables,Frozen,"Gomez, White and Pineda",78.79,104,8194.16,10,71,50,3939.5,2024-03-29,2024-04-28,2024-05-28,3,Delayed
2024-01-14,1c894a5b-d6ea-440a-8d8e-c4e687dd49ad,Tea,Beverages,Brooks Inc,86.22,192,16554.24,16,24,84,7242.48,2024-05-30,2024-06-08,2024-07-06,1,Delayed
2024-03-20,1cf7d32e-c7a5-4288-9c96-6c1794a6a832,Pizza,Frozen,Davidson-Bernard,65.25,112,7308,38,53,40,2610,2024-05-24,2024-06-01,2024-06-22,9,On Time
2024-02-26,df2424d4-1cfa-4c75-8baf-5192e4b30cb0,Cake,Bakery,"Horton, Hall and Short",92.78,190,17628.2,31,92,96,8906.88,2024-03-25,2024-05-04,2024-05-19,3,Delayed
2024-02-10,7a449e45-eb88-4a6f-abd8-810b1fa7ca81,Pork,Meat,Harrison-Wright,53.28,19,1012.32,5,95,11,586.08,2024-03-21,2024-06-17,2024-07-15,8,Partial Delivery
2024-04-07,ab82cd04-b597-45fb-89af-947e95712da7,Coffee,Beverages,Fernandez-Taylor,76.07,132,10041.24,16,50,109,8291.63,2024-03-09,2024-06-17,2024-06-27,3,On Time
2024-04-18,1475e92f-52be-42ae-a712-434273dfbf3a,Laundry Detergent,Cleaning Supplies,Martin-Young,22.11,182,4024.02,26,72,109,2409.99,2024-06-24,2024-05-14,2024-05-18,6,On Time
2024-05-01,8a4484db-18c9-4727-bb5f-a65946bbd330,Shampoo,Health & Beauty,Hayes-Smith,91.3,96,8764.8,17,22,47,4291.1,2024-03-31,2024-02-29,2024-03-27,6,Partial Delivery
2024-04-29,28f72869-0e3d-4ea7-9ed3-dc8f48190ba8,Carrot,Produce,Brown-Atkins,15.15,16,242.4,21,36,15,227.25,2024-06-25,2024-04-27,2024-05-19,3,On Time
2024-05-28,0b876e46-cf14-414a-8c7a-97c79becc4cd,Fish,Meat,"Perez, Mcpherson and Best",22.48,156,3506.88,38,78,30,674.4,2024-02-08,2024-05-22,2024-06-10,7,Partial Delivery
2024-04-05,3405ed63-0e8c-440c-b4dc-5e887d90e2f0,Coffee,Beverages,"Hunt, Smith and Richards",29.4,112,3292.8,15,47,37,1087.8,2024-03-17,2024-02-06,2024-02-21,2,Delayed
2024-02-26,d89dd990-a7c8-4570-8617-1d05301fe486,Hand Sanitizer,Health & Beauty,Cantrell PLC,5.43,69,374.67,21,99,37,200.91,2024-03-15,2024-01-18,2024-02-10,3,Delayed
2024-03-19,7d2dd76a-e673-419f-af0b-4dbc629a99c4,Cookies,Snacks,"Gay, Ferguson and Hill",48.16,171,8235.36,17,45,126,6068.16,2024-03-25,2024-04-18,2024-05-13,10,Partial Delivery
2024-03-26,919865f2-fe8e-43c6-92e1-570635832ec2,Trash Bags,Cleaning Supplies,Page and Sons,70.86,41,2905.26,45,55,13,921.18,2024-06-10,2024-03-06,2024-03-19,5,Delayed
2024-04-20,7a590d94-1ace-4234-96c8-cd8ad496e015,Cheese,Dairy,"Hunter, Patterson and Miller",10.94,51,557.94,6,47,7,76.58,2024-05-27,2024-05-11,2024-05-27,7,Delayed
2024-06-12,3fe179b7-bb85-4c21-81dc-bf3ac3ddfb96,Toothpaste,Health & Beauty,"Moreno, Sanchez and Smith",67.3,35,2355.5,34,84,19,1278.7,2024-02-07,2024-03-10,2024-03-18,8,Partial Delivery
2024-06-30,5dcdf4c7-e020-46cd-8e51-fb5d82b055e9,Muffin,Bakery,"Fleming, Pope and Harvey",95.36,148,14113.28,22,34,41,3909.76,2024-04-11,2024-06-19,2024-07-07,9,On Time
2024-02-24,9eccebe1-5191-474b-bc6c-6e0d58f61c10,Cookies,Snacks,Day-Sawyer,25.77,173,4458.21,38,70,16,412.32,2024-05-19,2024-06-06,2024-06-07,5,Delayed
2024-03-01,59ece7e6-0163-4059-bfe1-52b8918ff4a9,Bagel,Bakery,Wong-Brown,73.42,105,7709.1,17,27,84,6167.28,2024-02-15,2024-05-01,2024-05-13,1,Delayed
2024-02-26,d18f2105-7ab8-4617-b0f9-4f1a9861d019,Chicken,Meat,"Hammond, Taylor and Moore",53.48,183,9786.84,28,33,72,3850.56,2024-04-05,2024-03-05,2024-03-06,4,On Time
2024-03-22,0d6234ad-8ec5-4077-89c5-c5ed8ddfbb66,Ice Cream,Frozen,"Delgado, Butler and Vasquez",5.71,172,982.12,35,70,148,845.08,2024-05-19,2024-03-31,2024-04-14,8,Delayed
2024-06-24,94589743-7c65-4e8a-8461-782c1baaa507,Butter,Dairy,Ramos-Greer,62.26,146,9089.96,50,85,112,6973.12,2024-06-18,2024-02-16,2024-02-26,10,Delayed
2024-03-25,4e7dddb3-b534-48a3-b5bd-b5e99a7184e8,Coffee,Beverages,Mendez-Lewis,77.39,11,851.29,12,40,8,619.12,2024-06-16,2024-04-07,2024-04-29,4,On Time
2024-06-10,ba825203-436e-4224-a80a-23e965b535f1,Pork,Meat,Lee Inc,26.58,116,3083.28,19,44,26,691.08,2024-06-07,2024-01-26,2024-02-09,4,Delayed
2024-02-01,9690f060-6cc3-4baa-a06a-cf1c1e5e3428,Milk,Dairy,"Taylor, Solomon and Jenkins",77.07,192,14797.44,42,73,42,3236.94,2024-04-12,2024-01-14,2024-01-30,4,Delayed
2024-06-06,34192e4b-2d05-49e4-a766-f998c24ee0bf,Popcorn,Snacks,Briggs-Wright,78.69,198,15580.62,24,53,62,4878.78,2024-01-21,2024-05-12,2024-06-03,5,On Time
2024-04-11,f7e2ed3e-e3a4-409f-9616-063ac3382241,Fish,Meat,"Sloan, Barton and Chambers",80.08,83,6646.64,29,40,21,1681.68,2024-06-25,2024-06-16,2024-06-24,2,On Time
2024-01-30,8cd2f7aa-b95f-42c0-a6b4-4d88fb082f71,Croissant,Bakery,Stewart Ltd,10.18,51,519.18,44,35,15,152.7,2024-05-13,2024-05-19,2024-06-10,10,On Time
2024-02-15,9007f154-2d9f-45e9-a580-7d28050304d7,Glass Cleaner,Cleaning Supplies,Levine-Ellis,14.4,27,388.8,14,35,12,172.8,2024-01-25,2024-05-15,2024-05-16,1,Partial Delivery
2024-04-30,5bdeede5-5513-4e7b-a553-5f069a55b4d0,Banana,Produce,Morgan-Chen,36.32,50,1816,11,62,38,1380.16,2024-03-03,2024-03-18,2024-04-13,9,On Time
2024-02-23,17ec5975-3cae-44d0-a05f-9524ede278fe,Toothpaste,Health & Beauty,Williams-Mitchell,46.21,53,2449.13,40,21,11,508.31,2024-01-07,2024-04-07,2024-05-04,9,Partial Delivery
2024-03-20,c757ec95-6fde-4e4a-bc7c-6e5e70234090,Cream,Dairy,Crawford LLC,91.34,16,1461.44,48,97,8,730.72,2024-04-17,2024-01-17,2024-02-10,7,Delayed
2024-02-15,638eea5d-9540-44fa-87cc-9207ae81b50f,Pork,Meat,Chambers Inc,87.72,18,1578.96,28,27,11,964.92,2024-04-24,2024-05-23,2024-06-02,1,On Time
2024-03-31,dbb65e5f-e72d-4f50-b811-9c9dead48e9a,Potato,Produce,Estes-Snyder,14.18,83,1176.94,14,86,70,992.6,2024-03-06,2024-05-16,2024-05-21,2,Partial Delivery
2024-01-24,19628aa1-58c1-4f85-83d6-a80236539df2,Granola Bars,Snacks,Rodriguez Ltd,49.89,150,7483.5,49,66,20,997.8,2024-01-27,2024-01-21,2024-01-23,10,On Time
2024-06-06,086971c2-2390-436f-a22a-2a99314d58c4,Dish Soap,Cleaning Supplies,"Taylor, Stone and Hall",14.26,135,1925.1,27,88,72,1026.72,2024-01-09,2024-05-07,2024-05-20,9,On Time
2024-05-05,0bc51352-912b-418f-a9f4-e0b8d4bd4aeb,Soda,Beverages,Townsend-Thomas,75.5,32,2416,16,55,17,1283.5,2024-03-22,2024-06-03,2024-06-29,2,Delayed
2024-03-15,37f5a77a-20c9-4bdb-8830-afefe237a18d,Pizza,Frozen,"Marshall, Malone and Johnson",53.83,136,7320.88,12,56,34,1830.22,2024-05-09,2024-03-21,2024-03-30,6,Partial Delivery
